"","species","mass","bmr"
"1","Tachyglossus_aculeatus",2140,1.5639
"2","Zaglossus_bartoni",10300,6.7806
"3","Ornithorhynchus_anatinus",1300,2.6111
"4","Caluromys_derbianus",357,1.1361
"5","Gracilinanus_microtarsus",13,0.1056
"6","Thylamys_elegans",40,0.2389
"7","Monodelphis_domestica",104,0.3361
"8","Monodelphis_brevicaudata",111,0.4222
"9","Marmosa_robinsoni",122,0.5444
"10","Metachirus_nudicaudatus",336,1.1444
"11","Philander_opossum",751,1.8861
"12","Lutreolina_crassicaudata",812,2.2639
"13","Chironectes_minimus",923,2.0444
"14","Didelphis_marsupialis",1329,3.4111
"15","Didelphis_virginiana",3257,5.9944
"16","Dromiciops_gliroides",40,0.1778
"17","Notoryctes_caurinus",34.2,0.1194
"18","Myrmecobius_fasciatus",480,1.0361
"19","Antechinomys_laniger",24.2,0.1333
"20","Antechinus_stuartii",36.5,0.2028
"21","Pseudantechinus_macdonnellensis",43.1,0.1528
"22","Antechinus_flavipes",46.5,0.2528
"23","Antechinus_swainsonii",66.9,0.3556
"24","Dasycercus_cristicauda",88.8,0.2583
"25","Dasyuroides_byrnei",118.2,0.4611
"26","Phascogale_tapoatafa",157.2,0.7083
"27","Dasyurus_hallucatus",584.4,1.6611
"28","Dasyurus_viverrinus",909.9,2.2833
"29","Dasyurus_geoffroii",1354,3.1722
"30","Dasyurus_maculatus",1782,3.2806
"31","Sarcophilus_harrisii",5050,7.8861
"32","Planigale_tenuirostris",7.1,0.0639
"33","Planigale_ingrami",7.1,0.0639
"34","Planigale_gilesi",9.4,0.0722
"35","Ningaui_yvonnae",11.6,0.0889
"36","Planigale_maculata",13.1,0.075
"37","Sminthopsis_crassicaudata",17.7,0.1222
"38","Sminthopsis_murina",19,0.1194
"39","Sminthopsis_macroura",22,0.1306
"40","Macrotis_lagotis",1011,1.975
"41","Isoodon_auratus",428,0.8361
"42","Perameles_nasuta",645,1.7639
"43","Isoodon_obesulus",717.2,1.2389
"44","Perameles_gunnii",837.3,2.3444
"45","Isoodon_macrourus",1551,3.5472
"46","Echymipera_kalubu",695,1.9
"47","Echymipera_rufescens",1276,3.0167
"48","Phascolarctos_cinereus",4765,5.8472
"49","Lasiorhinus_latifrons",25000,13.9444
"50","Cercartetus_lepidus",12.6,0.1056
"51","Cercartetus_concinnus",18.6,0.125
"52","Burramys_parvus",44.3,0.2056
"53","Cercartetus_nanus",70,0.3361
"54","Phalanger_sericeus",1353.2,2.3917
"55","Phalanger_carmelitae",1389.7,2.9833
"56","Phalanger_gymnotis",1565.5,2.8917
"57","Phalanger_intercastellanus",1671.4,3.6722
"58","Trichosurus_vulpecula",1982,3.5389
"59","Spilocuscus_maculatus",4250,5.6804
"60","Petauroides_volans",1141,3.1806
"61","Pseudocheirus_peregrinus",860.1,1.5833
"62","Petaurus_breviceps",128.1,0.4944
"63","Gymnobelideus_leadbeateri",166,0.575
"64","Tarsipes_rostratus",10,0.1611
"65","Acrobates_pygmaeus",14,0.0833
"66","Bettongia_penicillata",1070,3.075
"67","Potorous_tridactylus",1120,2.8111
"68","Bettongia_gaimardi",1385,3.5778
"69","Aepyprymnus_rufescens",2820,5.9778
"70","Setonix_brachyurus",2510,4.4806
"71","Lagorchestes_conspicillatus",2660,4.7472
"72","Macropus_eugenii",4796,7.7583
"73","Dendrolagus_matschiei",6960,8.1528
"74","Macropus_robustus",29300,31.0528
"75","Macropus_rufus",32490,32.2583
"76","Geogale_aurita",6.9,0.0444
"77","Microgale_cowani",10.3,0.15
"78","Microgale_drouhardi",11.9,0.1583
"79","Microgale_talazaci",44,0.2417
"80","Oryzorictes_hova",44.4,0.2472
"81","Microgale_dobsoni",44.6,0.2333
"82","Limnogale_mergulus",77.7,0.4028
"83","Hemicentetes_nigriceps",101.9,0.4056
"84","Hemicentetes_semispinosus",133,0.3583
"85","Setifer_setosus",530,0.6806
"86","Tenrec_ecaudatus",790,1.4556
"87","Eremitalpa_granti",26.1,0.0861
"88","Chrysochloris_asiatica",34,0.2278
"89","Amblysomus_hottentotus",70,0.4722
"90","Macroscelides_proboscideus",38.8,0.2889
"91","Elephantulus_rozeti",45.31,0.2667
"92","Elephantulus_brachyrhynchus",45.3,0.2444
"93","Elephantulus_intufi",46.5,0.2889
"94","Elephantulus_edwardii",49.8,0.3028
"95","Elephantulus_rufescens",53,0.3167
"96","Elephantulus_myurus",62.97,0.3694
"97","Petrodromus_tetradactylus",206.1,1
"98","Orycteropus_afer",48000,34.2694
"99","Heterohyrax_brucei",2000,4.0167
"100","Dendrohyrax_dorsalis",2210,4.1917
"101","Procavia_capensis",2400,3.6139
"102","Trichechus_inunguis",170000,57.8417
"103","Dasypus_sabanicola",1380,1.7333
"104","Dasypus_novemcinctus",3320,4.4444
"105","Chaetophractus_vellerosus",1110,1.7333
"106","Zaedyus_pichiy",1740,2.2333
"107","Chaetophractus_nationi",2150,3.1194
"108","Chaetophractus_villosus",4540,4.5083
"109","Euphractus_sexcinctus",8190,6.8972
"110","Tolypeutes_matacus",1160,1.1722
"111","Cabassous_centralis",3810,4.4639
"112","Priodontes_maximus",45190,16.8889
"113","Bradypus_variegatus",3790,3.8278
"114","Choloepus_hoffmanni",4250,4.4556
"115","Cyclopes_didactylus",249,0.6417
"116","Tamandua_mexicana",3500,5.075
"117","Tamandua_tetradactyla",3500,4.8806
"118","Myrmecophaga_tridactyla",30600,14.5083
"119","Tupaia_glis",123,0.5222
"120","Tupaia_belangeri",186,0.7056
"121","Ptilocercus_lowii",58,0.2417
"122","Cheirogaleus_medius",300,1.0889
"123","Eulemur_fulvus",2330,1.8056
"124","Propithecus_verreauxi",3080,3.8139
"125","Loris_tardigradus",263,0.6611
"126","Nycticebus_coucang",1300,1.7417
"127","Perodicticus_potto",1386,2.8611
"128","Galago_demidoff",68,0.35
"129","Galago_moholi",156,0.6694
"130","Arctocebus_calabarensis",206,0.7361
"131","Euoticus_elegantulus",262,1.1972
"132","Otolemur_crassicaudatus",947,2.2917
"133","Tarsius_syrichta",114,0.4306
"134","Callithrix_pygmaea",152.5,0.5472
"135","Callithrix_jacchus",356,0.8528
"136","Callimico_goeldii",557,1.5528
"137","Leontopithecus_rosalia",733,2.125
"138","Saimiri_sciureus",850,3.3194
"139","Aotus_trivirgatus",1020,2.5611
"140","Macaca_mulatta",6230,12.1611
"141","Cercopithecus_mitis",8500,18.9639
"142","Colobus_guereza",10500,16.6917
"143","Pan_troglodytes",33900,50.675
"144","Homo_sapiens",60500,70.8667
"145","Aplodontia_rufa",630,1.5472
"146","Glaucomys_volans",61.5,0.3611
"147","Tamiasciurus_hudsonicus",224,1.3611
"148","Sciurus_aberti",624,2.4028
"149","Tamias_alpinus",39.1,0.3222
"150","Tamias_minimus",46.6,0.4278
"151","Tamias_amoenus",57.3,0.5389
"152","Funisciurus_isabella",60,0.5694
"153","Tamias_palmeri",69.4,0.6306
"154","Tamias_speciosus",70.7,0.5833
"155","Tamias_merriami",75,0.4389
"156","Tamias_striatus",87.4,0.5028
"157","Funisciurus_lemniscatus",95,0.5
"158","Ammospermophilus_leucurus",96,0.5528
"159","Funisciurus_congicus",112.3,0.5444
"160","Spermophilus_tereticaudus",167.2,0.5222
"161","Spermophilus_spilosoma",174.5,0.5139
"162","Spermophilus_tridecemlineatus",182.3,0.5778
"163","Paraxerus_cepapi",223.6,0.8111
"164","Spermophilus_townsendii",229.4,0.5833
"165","Heliosciurus_rufobrachium",230,0.7444
"166","Spermophilus_mohavensis",239.5,0.6222
"167","Funisciurus_pyrropus",244,1.0111
"168","Spermophilus_saturatus",252.2,0.9
"169","Spermophilus_lateralis",270.1666666667,0.7267
"170","Spermophilus_richardsonii",274.5,0.7361
"171","Spermophilus_beldingi",302.7,0.7056
"172","Spermophilus_armatus",319.9,0.8139
"173","Paraxerus_palliatus",366.6,1.4722
"174","Epixerus_ebii",460,1.3472
"175","Xerus_inauris",515.3,1.7306
"176","Spermophilus_beecheyi",599.6,1.7722
"177","Xerus_princeps",627,1.975
"178","Spermophilus_undulatus",680,3.2806
"179","Cynomys_ludovicianus",1112.3,2.3583
"180","Marmota_monax",2650,3.6944
"181","Marmota_flaviventris",4294,8.625
"182","Graphiurus_ocularis",67.8,0.3694
"183","Castor_canadensis",15270,25.9583
"184","Microdipodops_megacephalus",11,0.1694
"185","Microdipodops_pallidus",15.2,0.1111
"186","Dipodomys_nitratoides",37.8,0.2583
"187","Dipodomys_merriami",38.3,0.2417
"188","Dipodomys_ordii",48.8,0.3556
"189","Dipodomys_microps",57.2,0.3722
"190","Dipodomys_agilis",60.6,0.3556
"191","Dipodomys_heermanni",63.3,0.4083
"192","Dipodomys_panamintinus",64.2,0.4167
"193","Dipodomys_deserti",106,0.5139
"194","Liomys_salvini",43.8,0.2611
"195","Liomys_irroratus",48.1,0.3
"196","Heteromys_anomalus",69.3,0.5611
"197","Heteromys_desmarestianus",75.8,0.5528
"198","Perognathus_flavus",8.3,0.0972
"199","Perognathus_longimembris",8.9,0.0528
"200","Chaetodipus_intermedius",14.6,0.0861
"201","Chaetodipus_penicillatus",16,0.125
"202","Chaetodipus_fallax",19.6,0.15
"203","Chaetodipus_californicus",22,0.1194
"204","Chaetodipus_baileyi",29.1,0.1944
"205","Chaetodipus_hispidus",39.5,0.275
"206","Thomomys_umbrinus",85,0.4028
"207","Thomomys_talpoides",106,0.6083
"208","Thomomys_bottae",143,0.6694
"209","Geomys_bursarius",197,0.7694
"210","Geomys_pinetis",200,0.7917
"211","Jaculus_jaculus",74.5,0.5139
"212","Jaculus_orientalis",139.1,0.775
"213","Napaeozapus_insignis",21.6,0.2167
"214","Zapus_hudsonius",30,0.25
"215","Cannomys_badius",344,0.9583
"216","Spalax_ehrenbergi",128,0.6139
"217","Spalax_leucodon",201,0.8306
"218","Tachyoryctes_splendens",191,0.8417
"219","Saccostomus_campestris",61.3,0.2861
"220","Cricetomys_gambianus",1870.9,6.3667
"221","Malacothrix_typica",21.7,0.1139
"222","Steatomys_pratensis",27.5,0.2028
"223","Mystromys_albicaudatus",93.8,0.7056
"224","Microtus_subterraneus",17.8,0.275
"225","Myodes_californicus",18.3,0.3417
"226","Phenacomys_intermedius",21.5,0.375
"227","Arborimus_pomo",21.8,0.3278
"228","Myodes_gapperi",22.8,0.2472
"229","Microtus_pinetorum",23.8,0.3111
"230","Microtus_arvalis",24,0.3361
"231","Myodes_glareolus",24.6,0.3194
"232","Myopus_schisticolor",26.4,0.5306
"233","Myodes_rufocanus",27,0.3306
"234","Microtus_agrestis",28,0.3556
"235","Myodes_rutilus",28,0.4306
"236","Microtus_mexicanus",28.8,0.2611
"237","Microtus_longicaudus",30.2,0.3472
"238","Lemmiscus_curtatus",30.3,0.2806
"239","Microtus_oeconomus",35.4,0.5611
"240","Chionomys_nivalis",37.5,0.6556
"241","Microtus_pennsylvanicus",38.9,0.4194
"242","Lasiopodomys_brandtii",40.3,0.4306
"243","Microtus_cabrerae",43,0.2722
"244","Microtus_guentheri",43.8,0.4472
"245","Lemmus_trimucronatus",44,0.3917
"246","Microtus_californicus",44,0.3806
"247","Microtus_ochrogaster",47.4,0.4611
"248","Microtus_montanus",51.2,0.5
"249","Microtus_townsendii",52.2,0.5028
"250","Alticola_argentatus",52.9,0.7083
"251","Microtus_breweri",53.1,0.4111
"252","Dicrostonyx_groenlandicus",62.3,0.5861
"253","Microtus_xanthognathus",68.5,0.55
"254","Microtus_richardsoni",80,0.9639
"255","Arvicola_amphibius",97.5,0.6306
"256","Neofiber_alleni",258.1,1.2083
"257","Ondatra_zibethicus",1004.6,3.5861
"258","Phodopus_campbelli",24,0.2194
"259","Phodopus_sungorus",27.4,0.4306
"260","Cricetulus_migratorius",30.7,0.2444
"261","Mesocricetus_auratus",119.3,0.5722
"262","Cricetus_cricetus",362,1.2917
"263","Baiomys_taylori",7.3,0.0806
"264","Reithrodontomys_megalotis",7.6,0.1111
"265","Peromyscus_polionotus",12,0.1194
"266","Scotinomys_teguina",12,0.175
"267","Scotinomys_xerampelinus",15.2,0.1778
"268","Peromyscus_maniculatus",19.1,0.2167
"269","Onychomys_torridus",19.1,0.1639
"270","Ochrotomys_nuttalli",19.5,0.15
"271","Peromyscus_crinitus",20.9,0.1722
"272","Peromyscus_leucopus",21.2,0.1972
"273","Peromyscus_gossypinus",21.5,0.2056
"274","Peromyscus_eremicus",21.5,0.1806
"275","Peromyscus_boylii",23.2,0.3028
"276","Peromyscus_oreas",24.6,0.2417
"277","Peromyscus_sitkensis",28.3,0.2611
"278","Podomys_floridanus",30.8,0.2889
"279","Peromyscus_truei",33.2,0.3472
"280","Peromyscus_californicus",49.6,0.325
"281","Peromyscus_megalops",66.2,0.5056
"282","Megadontomys_thomasi",110.8,0.6917
"283","Isthmomys_pirrensis",137.9,0.6778
"284","Neotoma_lepida",138.5,0.5556
"285","Neotoma_fuscipes",186.7,0.8222
"286","Neotoma_albigula",193.6,0.7889
"287","Neotoma_cinerea",320.9,1.3972
"288","Calomys_lepidus",16,0.1611
"289","Calomys_musculinus",16.9,0.1556
"290","Eligmodontia_typus",17.5,0.1667
"291","Akodon_azarae",23.5,0.2222
"292","Abrothrix_olivaceus",27,0.275
"293","Oligoryzomys_longicaudatus",28.2,0.2861
"294","Abrothrix_andinus",34.6,0.3611
"295","Phyllotis_xanthopygus",36.4,0.3111
"296","Abrothrix_longipilis",42.3,0.3222
"297","Calomys_callosus",48,0.3972
"298","Calomys_venustus",49.5,0.3944
"299","Phyllotis_magister",50.7,0.3417
"300","Phyllotis_darwini",59,0.3972
"301","Chelemys_macronyx",62,0.4694
"302","Loxodontomys_micropus",62.3,0.5444
"303","Euneomys_chinchilloides",65.4,0.4694
"304","Graomys_griseoflavus",69.4,0.4694
"305","Auliscomys_boliviensis",76.8,0.6167
"306","Reithrodon_auritus",78.7,0.4306
"307","Oxymycterus_roberti",83.5,0.5083
"308","Sigmodon_ochrognathus",115.1,0.8611
"309","Sigmodon_leucotis",128.6,1.0389
"310","Sigmodon_hispidus",152.4,0.7056
"311","Sigmodon_alleni",155.6,1.1556
"312","Sigmodon_fulviventer",166.4,1.3639
"313","Acomys_spinosissimus",27,0.2444
"314","Acomys_subspinosus",32.3,0.4667
"315","Acomys_cahirinus",42,0.2583
"316","Acomys_russatus",51.1,0.2278
