"","species","mass","bmr"
"317","Gerbillus_pusillus",12.6,0.075
"318","Dipodillus_dasyurus",27.6,0.1639
"319","Gerbillus_nanus",28.4,0.125
"320","Gerbillus_gerbillus",29.7,0.2361
"321","Gerbillurus_tytonis",29.9,0.1778
"322","Gerbillurus_paeba",33.9,0.1944
"323","Gerbillus_andersoni",35.3,0.2167
"324","Gerbillurus_vallinus",38.8,0.1944
"325","Gerbillurus_setzeri",46.1,0.2056
"326","Gerbillus_pyramidum",53,0.2944
"327","Gerbillus_perpallidus",55.3,0.2833
"328","Sekeetamys_calurus",59.5,0.2556
"329","Meriones_unguiculatus",66.9,0.4306
"330","Desmodillus_auricularis",71.9,0.4889
"331","Meriones_hurrianae",72.3,0.2972
"332","Tatera_indica",86.8,0.4222
"333","Gerbilliscus_afra",106.5,1.0167
"334","Meriones_tristrami",112,0.55
"335","Gerbilliscus_leucogaster",157.6,0.7389
"336","Micromys_minutus",7.4,0.1194
"337","Mus_minutoides",8.3,0.1222
"338","Pseudomys_hermannsburgensis",12.2,0.1306
"339","Apodemus_witherbyi",20.5,0.2778
"340","Mus_spretus",21.8,0.3444
"341","Apodemus_sylvaticus",23.9,0.2417
"342","Apodemus_flavicollis",NA,NA
"343","Notomys_alexis",32.3,0.2528
"344","Notomys_cervinus",34.2,0.2333
"345","Rhabdomys_pumilio",39.6,0.1778
"346","Apodemus_mystacinus",40.4,0.3139
"347","Mastomys_natalensis",41.5,0.1833
"348","Lemniscomys_griselda",47.5,0.3194
"349","Golunda_ellioti",56.2,0.3389
"350","Micaelamys_namaquensis",66.3,0.2917
"351","Millardia_meltada",67.4,0.3278
"352","Rattus_fuscipes",76,0.4694
"353","Pseudomys_gracilicaudatus",79.8,0.4667
"354","Stochomys_longicaudatus",105,0.4194
"355","Rattus_lutreolus",109,0.3528
"356","Otomys_irroratus",111.6,0.5167
"357","Myotomys_sloggetti",113.3,0.7472
"358","Thallomys_paedulcus",124.7,0.3833
"359","Rattus_rattus",132,0.9361
"360","Rattus_colletti",165.7,0.6833
"361","Rattus_sordidus",187,0.5944
"362","Conilurus_penicillatus",212.3,0.9028
"363","Rattus_villosissimus",247.8,0.8111
"364","Hydromys_chrysogaster",750,2.4556
"365","Uromys_caudimaculatus",819,3.1694
"366","Parotomys_brantsii",86.5,0.4694
"367","Myotomys_unisulcatus",96,0.5944
"368","Pedetes_capensis",2300,4.425
"369","Cryptomys_darlingi",60,0.3278
"370","Heliophobius_argenteocinereus",88,0.4167
"371","Cryptomys_bocagei",94,0.3889
"372","Cryptomys_hottentotus",102,0.3889
"373","Cryptomys_damarensis",125,0.3972
"374","Georychus_capensis",191,0.6278
"375","Cryptomys_mechowi",272,0.9111
"376","Bathyergus_janetta",406,1.2222
"377","Bathyergus_suillus",712,1.9056
"378","Heterocephalus_glaber",39,0.1444
"379","Hystrix_africaeaustralis",10700,11.3389
"380","Coendou_prehensilis",3280,5.1222
"381","Erethizon_dorsata",11136,15.5278
"382","Chinchilla_lanigera",426,1.2583
"383","Chinchilla_chinchilla",454.4,1.2611
"384","Lagidium_viscacia",2056,3.9
"385","Lagostomus_maximus",6784,10.5944
"386","Microcavia_niata",255,0.9806
"387","Galea_musteloides",322,1.4722
"388","Cavia_porcellus",629,1.9306
"389","Dolichotis_salinicola",1613,4.05
"390","Kerodon_rupestris",801,2.0111
"391","Hydrochoeris_hydrochaeris",26385,36.7917
"392","Myoprocta_acouchy",914,2.8028
"393","Dasyprocta_leporina",2687,8.6917
"394","Dasyprocta_azarae",3849,10.5194
"395","Cuniculus_paca",9156,15.3222
"396","Ctenomys_talarum",116,0.6139
"397","Ctenomys_opimus",214,0.775
"398","Ctenomys_maulinus",215,1.0444
"399","Ctenomys_fulvus",300,1.0556
"400","Ctenomys_australis",340,0.6444
"401","Ctenomys_peruanus",490,1.2306
"402","Tympanoctomys_barrerae",71.4,0.4306
"403","Aconaemys_fuscus",112,0.675
"404","Octomys_mimax",118.6,0.6417
"405","Spalacopus_cyanus",136,0.5694
"406","Octodontomys_gliroides",152,0.7306
"407","Octodon_lunatus",173.2,0.9556
"408","Octodon_bridgesi",176.1,1.0222
"409","Octodon_degus",206,1.0694
"410","Thrichomys_apereoides",323,1.1528
"411","Proechimys_semispinosus",498,1.75
"412","Myocastor_coypus",4325,16.8861
"413","Geocapromys_ingrahami",775,1.4694
"414","Geocapromys_brownii",2456,4.1111
"415","Capromys_pilorides",2630,3.375
"416","Ochotona_princeps",109,0.9306
"417","Ochotona_curzoniae",117.5,1.0611
"418","Ochotona_dauurica",127.7,1.3889
"419","Sylvilagus_audubonii",672.4,2.4417
"420","Lepus_americanus",1577,6.6861
"421","Lepus_californicus",1989,6.2361
"422","Lepus_townsendii",2430,7.0472
"423","Lepus_arcticus",3004,6.0333
"424","Lepus_timidus",3150,12.9833
"425","Lepus_alleni",3362,8.4583
"426","Hemiechinus_auritus",397,0.8472
"427","Paraechinus_aethiopicus",453,0.6278
"428","Atelerix_albiventris",450,0.8278
"429","Erinaceus_europaeus",749,1.8833
"430","Erinaceus_concolor",822.7,1.9361
"431","Hylomys_suillus",77.3,0.4472
"432","Echinosorex_gymnura",721.2,2.8167
"433","Suncus_etruscus",2.2,0.0389
"434","Crocidura_suaveolens",6.5,0.1056
"435","Crocidura_hildegardeae",10,0.1444
"436","Crocidura_jouvenetae",10.2,0.125
"437","Crocidura_russula",10.4,0.1278
"438","Crocidura_leucodon",11.7,0.1667
"439","Crocidura_luna",11.8,0.1389
"440","Crocidura_viaria",14.7,0.1222
"441","Crocidura_poensis",17.3,0.175
"442","Crocidura_olivieri",38.9,0.325
"443","Suncus_murinus",52.3,0.4917
"444","Myosorex_varius",12.3,0.1333
"445","Sorex_minutus",3.3,0.1583
"446","Notiosorex_crawfordi",4,0.0722
"447","Sorex_cinereus",4.2,0.1472
"448","Sorex_vagrans",5.2,0.1111
"449","Cryptotis_parva",6.2,0.1056
"450","Sorex_araneus",7.7,0.2611
"451","Sorex_alpinus",7.9,0.2694
"452","Sorex_coronatus",9.1,0.2889
"453","Blarina_carolinensis",10.2,0.1861
"454","Neomys_fodiens",13.5,0.2194
"455","Sorex_palustris",14.4,0.3889
"456","Blarina_brevicauda",21,0.2917
"457","Scalopus_aquaticus",48,0.3778
"458","Condylura_cristata",49,0.6167
"459","Scapanus_latimanus",61,0.3472
"460","Scapanus_orarius",61.2,0.2917
"461","Scapanus_townsendii",130.1,0.6083
"462","Neurotrichus_gibbsii",11.8,0.2583
"463","Macroglossus_minimus",16.4,0.0806
"464","Syconycteris_australis",16.5,0.0972
"465","Eonycteris_spelaea",51.6,0.2667
"466","Melonycteris_melanops",53.3,0.2417
"467","Paranyctimene_raptor",23.6,0.1361
"468","Nyctimene_albiventer",30.9,0.2444
"469","Nyctimene_cyclotis",40.4,0.4444
"470","Cynopterus_brachyotis",37.4,0.2639
"471","Dobsonia_minor",73.7,0.4167
"472","Rousettus_amplexicaudatus",91.5,0.5833
"473","Rousettus_aegyptiacus",146,0.6833
"474","Dobsonia_praedatrix",179.5,0.8
"475","Pteropus_pumilus",194.2,0.7056
"476","Dobsonia_anderseni",241.4,0.9694
"477","Pteropus_rodricensis",254.5,0.7528
"478","Pteropus_scapulatus",362,1.3528
"479","Dobsonia_moluccensis",404.3,2.0528
"480","Pteropus_hypomelanus",520.8,1.6278
"481","Pteropus_giganteus",562.2,1.6306
"482","Pteropus_poliocephalus",598,1.7667
"483","Pteropus_vampyrus",1024.3,4.5139
"484","Aselliscus_tricuspidatus",4.2,0.0389
"485","Rhinonicteris_aurantia",8.3,0.0917
"486","Hipposideros_cervinus",8.3,0.05
"487","Hipposideros_galeritus",8.5,0.0528
"488","Hipposideros_maggietaylorae",18.2,0.1167
"489","Hipposideros_diadema",37.2,0.1833
"490","Macroderma_gigas",107.2,0.525
"491","Saccopteryx_leptura",4.2,0.0528
"492","Peropteryx_macrotis",5.1,0.0667
"493","Saccopteryx_bilineata",7.8,0.0806
"494","Diphylla_ecaudata",27.8,0.1889
"495","Desmodus_rotundus",29.4,0.15
"496","Diaemus_youngi",36.6,0.1889
"497","Erophylla_bombifrons",16.1,0.1
"498","Monophyllus_redmani",8.7,0.0611
"499","Glossophaga_soricina",9.6,0.1194
"500","Choeroniscus_godmani",10.1,0.1056
"501","Anoura_caudifer",11.3,0.1583
"502","Glossophaga_longirostris",13.5,0.1472
"503","Anoura_latidens",13.6,0.2056
"504","Leptonycteris_curasoae",24,0.1889
"505","Macrotus_californicus",11.7,0.0806
"506","Tonatia_bidens",27.4,0.2194
"507","Phyllostomus_discolor",33.5,0.1917
"508","Phyllostomus_elongatus",35.6,0.2167
"509","Phyllostomus_hastatus",84.2,0.3944
"510","Chrotopterus_auritus",96.1,0.5694
"511","Rhinophylla_fischerae",9.5,0.0917
"512","Carollia_perspicillata",14.9,0.175
"513","Vampyressa_pusilla",8.8,0.1028
"514","Sturnira_erythromos",15.9,0.2222
"515","Uroderma_bilobatum",16.2,0.1472
"516","Artibeus_concolor",19.7,0.1833
"517","Chiroderma_doriae",19.9,0.1722
"518","Sturnira_tildae",20.5,0.2222
"519","Platyrrhinus_lineatus",21.9,0.1806
"520","Sturnira_lilium",21.9,0.2194
"521","Artibeus_jamaicensis",45.2,0.3167
"522","Artibeus_fimbriatus",63.9,0.4361
"523","Artibeus_lituratus",69.7,0.4833
"524","Pteronotus_quadridens",4.9,0.0333
"525","Mormoops_blainvillei",8.6,0.0444
"526","Pteronotus_davyi",9.4,0.0861
"527","Pteronotus_personatus",14,0.1278
"528","Mormoops_megalophylla",16.5,0.1361
"529","Pteronotus_parnellii",19.2,0.1722
"530","Noctilio_albiventris",27,0.1333
"531","Noctilio_leporinus",61,0.2611
"532","Natalus_tumidirostris",5.4,0.0472
"533","Molossus_molossus",15.6,0.0972
"534","Eumops_perotis",56,0.2222
"535","Nyctophilus_geoffroyi",8,0.0639
"536","Nycticeius_humeralis",9,0.0611
"537","Lasiurus_seminolus",9.8,0.075
"538","Histiotus_velatus",11.2,0.0556
"539","Lasiurus_borealis",12.2,0.0972
"540","Nyctophilus_timoriensis",13.6,0.1139
"541","Chalinolobus_gouldii",17.5,0.1389
"542","Lasiurus_cinereus",19.9,0.0917
"543","Lasiurus_intermedius",22.6,0.1028
"544","Myotis_chiloensis",5.8,0.0556
"545","Myotis_vivesi",25,0.2
"546","Miniopterus_schreibersii",10.9,0.1444
"547","Manis_tetradactyla",1430,1.275
"548","Manis_tricuspis",2730,5.025
"549","Manis_pentadactyla",3637.5,3.7333
"550","Manis_javanica",4220,6.1194
"551","Manis_crassicaudata",15910,6.3889
"552","Leopardus_wiedii",3600,5.2222
"553","Puma_yagouaroundi",8400,9.7
"554","Lynx_rufus",9400,23.5417
"555","Leptailurus_serval",10100,17.4639
"556","Leopardus_pardalis",10500,17.5694
"557","Puma_concolor",37200,49.3833
"558","Acinonyx_jubatus",37900,50.1028
"559","Panthera_onca",50400,62.4083
"560","Panthera_leo",98000,94.5667
"561","Panthera_tigris",137900,133.8361
"562","Arctogalidia_trivirgata",2010,3.0833
"563","Paradoxurus_hermaphroditus",3160,4.2306
"564","Arctictis_binturong",14280,6.2917
"565","Genetta_tigrina",1732,4.25
"566","Fossa_fossana",2260,5.0556
"567","Nandinia_binotata",4270,4.8111
"568","Galerella_sanguinea",500,2.1194
"569","Herpestes_javanicus",611,2.25
"570","Suricata_suricatta",850,1.7556
"571","Proteles_cristata",8100,12.2
"572","Hyaena_hyaena",34300,31.95
"573","Vulpes_zerda",1106,2.2222
"574","Vulpes_cana",1285,3.525
"575","Vulpes_rueppellii",1546,4.4583
"576","Vulpes_macrotis",1868,5.2306
"577","Vulpes_vulpes",3060,8.3806
"578","Vulpes_lagopus",5090,11.9611
"579","Lycalopex_culpaeus",5418,11.3639
"580","Cerdocyon_thous",5444,8.5028
"581","Nyctereutes_procyonoides",7575,16.9306
"582","Canis_mesomelas",7720,21.0556
"583","Canis_latrans",10000,15
"584","Canis_lupus",33000,45.0972
"585","Melursus_ursinus",66960,47.0583
"586","Ursus_americanus",129500,85.2333
"587","Ursus_arctos",170000,109.9972
"588","Ursus_maritimus",181333,124.4056
"589","Zalophus_californianus",73000,177.9361
"590","Pusa_hispida",44600,79.1083
"591","Phoca_vitulina",85467,158.7472
"592","Pagophilus_groenlandicus",145657,184.425
"593","Leptonychotes_weddellii",388500,416.0583
"594","Lutra_lutra",10000,25.1
"595","Enhydra_lutris",18000,72.2889
"596","Mustela_nivalis",77,0.9833
"597","Mustela_erminea",210,1.7333
"598","Mustela_frenata",297,1.575
"599","Neovison_vison",662,2.7111
"600","Martes_martes",920,4.1056
"601","Martes_americana",1038,3.8222
"602","Mustela_putorius",1575,7.0278
"603","Eira_barbara",2950,6.8111
"604","Taxidea_taxus",9000,15.0611
"605","Meles_meles",11050,16.6417
"606","Gulo_gulo",12700,32.5861
"607","Spilogale_putorius",624,1.6361
"608","Mephitis_mephitis",5667,8.4083
"609","Procyon_cancrivorus",1160,2.5889
"610","Bassariscus_sumichrasti",1282,3.5389
"611","Potos_flavus",2400,4.2306
"612","Nasua_narica",3670,6.7361
"613","Nasua_nasua",4000,5.5778
"614","Procyon_lotor",4822.5,12.1861
"615","Ailurus_fulgens",5740,4.9
"616","Pecari_tajacu",20200,32.45
"617","Camelus_dromedarius",407000,224.7444
"618","Tragulus_javanicus",1625,4.8861
"619","Capreolus_capreolus",19000,41.5444
"620","Odocoileus_virginianus",67625,94.3
"621","Rangifer_tarandus",94100,133.3167
"622","Alces_americanus",350000,318.4316
"623","Cervus_elaphus",58000,90.5833
"624","Antilocapra_americana",37800,59.0361
"625","Oryx_leucoryx",84100,103.9361
"626","Connochaetes_taurinus",140000,156.1778
"627","Madoqua_kirkii",4600,10.7778
"628","Raphicerus_campestris",8500,18.2528
"629","Gazella_subgutturosa",17100,25.6583
"630","Taurotragus_oryx",150000,200.8
"631","Oreamnos_americanus",32000,46.4083
"632","Ovis_canadensis",65000,130.5194
"633","Ovibos_moschatus",224500,139.1889
"634","Philantomba_monticola",4400,10.5528
"635","Kobus_ellipsiprymnus",1e+05,148.9278
"636","Tursiops_truncatus",148600,323.2556
"637","Orcinus_orca",3221000,2173.8889
"638","Phocoena_phocoena",28500,108.0972
